,tag_total,date
86,"['#등산', '#햄버거', '#피자', '#대학생', '#첫줄안녕', '#커플룩', '#탕수육', '#졸려', '#회식', '#셀피', '#한강', '#오늘뭐먹지', '#거제도', '#여행스타그램', '#이벤트']",2021-09-06T00:04:17.000Z
87,"['#파머스키친', '#hamburger', '#햄버거', '#양양', '#강원도', '#cloud', '#뭉게구름']",2021-09-06T00:01:10.000Z
88,"['ajaegeul', '#아재글', '#김병현', '#법규형', '#bk', '#야구', '#핵잠수함', '#mlb', '#월클', '#기본', '#기본기', '#kbo', '#연습', '#훈련', '#행복', '#명언', '#띵언', '#인생', '#인생명언', '#힐링', '#힐링명언', '#명언모음', '#인생글귀', '#글귀', '#글귀사진', '#운동', '#사장님', '#햄버거', '#버거']",2021-09-05T23:34:34.000Z
89,"['#バーガートウカ', '#篠栗', '#篠栗カフェ', '#福岡', '#福岡グルメ', '#ハンバーガー', '#うまみ', '#fukuoka', '#hamburger', '#햄버거', '#기념일데이트', '#♥️', '#おはようございます']",2021-09-05T23:27:53.000Z
90,"['harry_', '#햄버거', '#롯데리아', '#모짜렐라치즈인더버거', '#불고기버거', '#감자튀김', '#콜라', '#데이트', '#이모']",2021-09-05T22:56:56.000Z
91,"['#눈살', '#돼지', '#애굣살', '#강아지', '#응가', '#이별티비', '#햄버거', '#맥도날드', '#몰티져스']",2021-09-05T22:41:14.000Z
92,"['#요리', '#빅맥', '#햄버거']",2021-09-05T22:20:33.000Z
93,"['#맥도날드', '#창녕갈릭버거', '#창녕갈릭버거세트', '#마늘', '#햄버거', '#근데너무짜요']",2021-09-05T21:58:32.000Z
94,"['#독일', '#유학생', '#독일유학생', '#햄버거', '#hamburger', '#닭강정', '#독일일상', '#유학생', '#리모나데', '#Limonade', '#limolog', '#독일브이로그', '#foodstagram', '#푸드스타그램', '#먹스타그램', '#플레이팅', '#아이폰pro', '#수제버거', '#버거맛집']",2021-09-05T21:01:32.000Z
95,"['#버거킹', '#기네스스태커', '#기네스스태커천만에요', '#먹스타그램', '#햄버거', '#기네스스태커와퍼', '#천만축하해', '#천만축하츄카']",2021-09-05T20:59:32.000Z
96,"['#햄버거', '#はんばーがー', '#SONY']",2021-09-05T17:46:05.000Z
